"GLUT1"	"HK2"	"GAPDH"	"LDHA"	"MCT1"	"PFKFB4"	"IDH2"	"CyclinB1"	"GLUD12"	"CS"	"OGDH"	"CytC"	"ATP5A"	"S6_p"	"HIF1A"	"labels"
0.0340976224559848	0	0.348198208240637	0.406699153088167	0.0688246687916285	0.160134999317746	0.505116789708935	0.063481519785639	0.432470725908039	0.529641518268134	0.531583774740511	0.209649365878006	0.377178263202928	0.0370456243090455	0.0234680128966528	"day0"
0.255286167122688	0.0657266493873502	0.300593406507157	0.507883983593154	0.0122014188164637	0.0241185985091448	0.693392151616407	0.102636693722981	0.472615410262319	0.587999034992396	0.416154748599536	0.023096793802686	0.605369287298085	0.169397598541805	0.0814452579619941	"day0"
0.1403223	0	0.1665477	0.1122911	0.1213554	0.1192041	0.4822793	0.007619569	0.3998965	0.4228455	0.1749531	0.08402797	0.2401586	0.03365913	0.09690983	"day0"
0.242379151989991	0.0201271084397974	0.277721301821943	0.617294605688497	0.169570755302086	0.094982086331235	0.715921025457888	0.0102567848818568	0.619275382530224	0.500731827809689	0.422829564298848	0.236480055739058	0.47494075249668	0.00967130906312056	0.348370541864077	"day0"
0.249524766017305	0.0101225539825169	0.483913041726116	0.668448882949949	0.0751834443538317	0.337340378570319	0.714797435012206	0.114778520562764	0.693765361523715	0.554968468210273	0.393075531370394	0.101882848887616	0.454925302829046	0.0168668838115068	0.100350214410758	"day0"
0.27935179630741	0.0302017387793446	0.422982902979959	0.650309663675569	0.0204906560610927	0.493523248767283	0.681504449974458	0.0375073643423581	0.574813003271838	0.609473397697214	0.397390435907393	0.357881861829929	0.50080899242237	0.120815745170073	0.184017346698602	"day0"
0.164005799390769	0	0.436051224771675	0.517246871433121	0.164499537176085	0.207304441810786	0.678408158418371	0.0605115563657279	0.572041138296002	0.495536105458761	0.409183449911694	0.101783696519675	0.509905983949596	0	0.260325239505247	"day0"
0.118920383813396	0.0273512493207772	0.294988192014635	0.230484892032792	0.132089589812969	0.0700803124022237	0.396305221824271	0.0329327660687893	0.153750614394308	0.454753905085878	0.0499046906713233	0.120773273324211	0.285911481641113	0.0265218948705931	0.157994882555048	"day0"
0.206999881624727	0.0795436246130983	0.376274518019013	0.589473297729639	0.0423386114194123	0.224462895693178	0.690771066795055	0.102581357335726	0.642579770119638	0.605177830940419	0.188715269638816	0.203856116601655	0.537403818735745	0	0.00511401836100968	"day0"
0.2532187	0	0.4712716	0.4342091	0.09407694	0.1759599	0.5878333	0.04188146	0.4649068	0.5767533	0.503652	0.08872045	0.4727155	0.04401135	0.09729003	"day0"
0.267075499195463	0.149618856587444	0.18999581525328	0.53702033267082	0.177007550109157	0.219442453101136	0.655376512179747	0	0.566647682601413	0.492148224323972	0.279776892929497	0.365883991723179	0.497249386565904	0.0116939680947493	0.0998556676789542	"day0"
0.1271382	0.0004575213	0.5175934	0.7008519	0.1254238	0.02680902	0.6599135	0.06170012	0.4609706	0.5577491	0.4000336	0.07383469	0.6282693	0.03569916	0.1246196	"day0"
0.0944761659066289	0.108866750462983	0.398209298656015	0.304457955074916	0.0340344148545889	0.09067750283155	0.306449552224894	0.0148631500036853	0.268461519497103	0.196052724226812	0.132486038171344	0.0232453540916163	0.0650271254011394	0	0	"day0"
